iter	Passed	Remaining
0	57	57097
1	57	28671
2	57	19205
3	58	14461
4	58	11615
5	58	9724
6	58	8367
7	59	7355
8	59	6563
9	59	5939
10	60	5422
11	60	4994
12	60	4628
13	61	4313
14	61	4040
15	61	3801
16	62	3591
17	62	3405
18	62	3238
19	63	3089
20	63	2954
21	63	2831
22	64	2719
23	64	2616
24	64	2523
25	64	2434
26	65	2352
27	65	2275
28	65	2203
29	66	2138
30	66	2076
31	66	2018
32	67	1964
33	67	1911
34	67	1862
35	67	1816
36	68	1772
37	68	1730
38	68	1691
39	68	1653
40	69	1619
41	69	1585
42	69	1554
43	70	1523
44	70	1494
45	70	1465
46	70	1438
47	71	1411
48	71	1388
49	71	1365
50	72	1342
51	72	1320
52	72	1300
53	73	1282
54	73	1264
55	73	1244
56	74	1225
57	74	1208
58	74	1190
59	74	1173
60	75	1157
61	75	1142
62	75	1129
63	76	1114
64	76	1099
65	76	1086
66	77	1074
67	77	1061
68	77	1049
69	78	1038
70	78	1025
71	78	1013
72	78	1001
73	79	990
74	79	979
75	79	968
76	79	958
77	80	948
78	80	939
79	80	929
80	81	919
81	81	909
82	81	899
83	81	890
84	81	881
85	82	873
86	82	864
87	82	856
88	82	848
89	83	841
90	83	833
91	83	825
92	83	818
93	84	811
94	84	804
95	84	797
96	84	790
97	85	786
98	85	780
99	86	774
100	87	775
101	87	769
102	87	763
103	87	757
104	88	751
105	88	745
106	88	739
107	88	734
108	89	728
109	89	723
110	89	717
111	89	712
112	90	707
113	90	702
114	90	697
115	90	692
116	91	687
117	91	684
118	91	679
119	92	675
120	92	670
121	92	665
122	92	661
123	93	657
124	93	653
125	93	649
126	93	644
127	94	640
128	94	636
129	94	633
130	94	629
131	95	625
132	95	622
133	95	618
134	95	615
135	96	611
136	96	607
137	96	604
138	97	601
139	97	597
140	97	594
141	97	590
142	98	587
143	98	585
144	98	581
145	99	579
146	99	576
147	99	573
148	99	570
149	100	567
150	100	564
151	100	561
152	100	558
153	101	556
154	101	553
155	101	550
156	101	547
157	102	545
158	102	542
159	102	539
160	102	536
161	103	533
162	103	531
163	103	528
164	103	526
165	104	523
166	104	521
167	104	518
168	104	516
169	105	513
170	105	511
171	105	509
172	106	507
173	106	505
174	106	503
175	107	501
176	107	499
177	107	496
178	107	494
179	108	492
180	108	490
181	108	488
182	108	486
183	109	484
184	109	482
185	109	480
186	109	478
187	110	476
188	110	474
189	110	472
190	111	470
191	111	468
192	111	466
193	111	464
194	112	463
195	112	461
196	112	459
197	113	457
198	113	456
199	113	454
200	113	452
201	114	451
202	114	449
203	114	447
204	114	445
205	115	444
206	115	442
207	115	440
208	116	439
209	116	438
210	116	436
211	116	434
212	117	433
213	117	431
214	117	430
215	118	428
216	118	426
217	118	425
218	118	424
219	119	422
220	119	421
221	119	419
222	119	418
